"Displacement:0","Displacement:1","Displacement:2","Points:0","Points:1","Points:2","ids"
0,0,0,0.0033106,0.00033665,-0.086805,1
0,0,0,0.0066211,0.0006733,-0.086805,2
0,0,0,0.0099317,0.00101,-0.086805,3
0,0,0,0.013242,0.0013466,-0.086805,4
0,0,0,0.016553,0.0016833,-0.086805,5
0,0,0,0.003175,0.00099617,-0.086805,6
0,0,0,0.00635,0.0019923,-0.086805,7
0,0,0,0.0095251,0.0029885,-0.086805,8
0,0,0,0.0127,0.0039847,-0.086805,9
0,0,0,0.015875,0.0049808,-0.086805,10
0,0,0,0.0029095,0.0016149,-0.086805,11
0,0,0,0.005819,0.0032298,-0.086805,12
0,0,0,0.0087285,0.0048447,-0.086805,13
0,0,0,0.011638,0.0064596,-0.086805,14
0,0,0,0.014548,0.0080745,-0.086805,15
0,0,0,0.0025249,0.0021675,-0.086805,16
0,0,0,0.0050497,0.0043351,-0.086805,17
0,0,0,0.0075746,0.0065026,-0.086805,18
0,0,0,0.010099,0.0086701,-0.086805,19
0,0,0,0.012624,0.010838,-0.086805,20
0,0,0,0.0020369,0.0026314,-0.086805,21
0,0,0,0.0040737,0.0052628,-0.086805,22
0,0,0,0.0061106,0.0078942,-0.086805,23
0,0,0,0.0081475,0.010526,-0.086805,24
0,0,0,0.010184,0.013157,-0.086805,25
0,0,0,0.0014655,0.0029876,-0.086805,26
0,0,0,0.0029309,0.0059751,-0.086805,27
0,0,0,0.0043964,0.0089627,-0.086805,28
0,0,0,0.0058619,0.01195,-0.086805,29
0,0,0,0.0073273,0.014938,-0.086805,30
0,0,0,0.00083408,0.0032214,-0.086805,31
0,0,0,0.0016682,0.0064428,-0.086805,32
0,0,0,0.0025022,0.0096642,-0.086805,33
0,0,0,0.0033363,0.012886,-0.086805,34
0,0,0,0.0041704,0.016107,-0.086805,35
0,0,0,0.00016854,0.0033234,-0.086805,36
0,0,0,0.00033708,0.0066467,-0.086805,37
0,0,0,0.00050563,0.0099701,-0.086805,38
0,0,0,0.00067417,0.013293,-0.086805,39
0,0,0,0.00084271,0.016617,-0.086805,40
0,0,0,-0.0005039,0.0032893,-0.086805,41
0,0,0,-0.0010078,0.0065785,-0.086805,42
0,0,0,-0.0015117,0.0098678,-0.086805,43
0,0,0,-0.0020156,0.013157,-0.086805,44
0,0,0,-0.0025195,0.016446,-0.086805,45
0,0,0,-0.0011557,0.0031205,-0.086805,46
0,0,0,-0.0023114,0.006241,-0.086805,47
0,0,0,-0.0034671,0.0093615,-0.086805,48
0,0,0,-0.0046228,0.012482,-0.086805,49
0,0,0,-0.0057785,0.015602,-0.086805,50
0,0,0,-0.0017602,0.002824,-0.086805,51
0,0,0,-0.0035204,0.0056479,-0.086805,52
0,0,0,-0.0052806,0.0084719,-0.086805,53
0,0,0,-0.0070408,0.011296,-0.086805,54
0,0,0,-0.008801,0.01412,-0.086805,55
0,0,0,-0.0022926,0.0024118,-0.086805,56
0,0,0,-0.0045853,0.0048237,-0.086805,57
0,0,0,-0.0068779,0.0072355,-0.086805,58
0,0,0,-0.0091705,0.0096474,-0.086805,59
0,0,0,-0.011463,0.012059,-0.086805,60
0,0,0,-0.0027312,0.001901,-0.086805,61
0,0,0,-0.0054624,0.0038019,-0.086805,62
0,0,0,-0.0081936,0.0057029,-0.086805,63
0,0,0,-0.010925,0.0076039,-0.086805,64
0,0,0,-0.013656,0.0095048,-0.086805,65
0,0,0,-0.003058,0.0013123,-0.086805,66
0,0,0,-0.0061159,0.0026245,-0.086805,67
0,0,0,-0.0091739,0.0039368,-0.086805,68
0,0,0,-0.012232,0.0052491,-0.086805,69
0,0,0,-0.01529,0.0065614,-0.086805,70
0,0,0,-0.0032595,0.00066985,-0.086805,71
0,0,0,-0.006519,0.0013397,-0.086805,72
0,0,0,-0.0097785,0.0020095,-0.086805,73
0,0,0,-0.013038,0.0026794,-0.086805,74
