"Displacement:0","Displacement:1","Displacement:2","Points:0","Points:1","Points:2","ids"
-0.000619,-0.00032581,-0.071537,0.0026916,1.084e-05,-0.15834,1
0.00020943,0.0011725,-0.071537,0.0068305,0.0018458,-0.15834,2
6.6796e-05,0.0020826,-0.071537,0.0099985,0.0030925,-0.15834,3
-0.00027026,0.0028544,-0.071537,0.012972,0.004201,-0.15834,4
-0.0018874,-0.00027834,-0.071537,0.014665,0.0014049,-0.15834,5
0.00073643,-0.00086502,-0.071537,0.0039115,0.00013115,-0.15834,6
-0.00084603,0.0013989,-0.071537,0.005504,0.0033912,-0.15834,7
-0.00052054,0.0017244,-0.071537,0.0090045,0.004713,-0.15834,8
-0.00078061,0.0029508,-0.071537,0.011919,0.0069354,-0.15834,9
-0.0016852,-0.00012733,-0.071537,0.01419,0.0048535,-0.15834,10
0.00029865,0.0002568,-0.071537,0.0032082,0.0018717,-0.15834,11
-0.00061565,0.00054049,-0.071537,0.0052034,0.0037703,-0.15834,12
-0.0010869,0.00092144,-0.071537,0.0076416,0.0057662,-0.15834,13
-0.0014639,0.0019661,-0.071537,0.010174,0.0084257,-0.15834,14
-0.0036153,-0.0032282,-0.071537,0.010932,0.0048464,-0.15834,15
0.00016128,0.00087321,-0.071537,0.0026861,0.0030407,-0.15834,16
-0.0002779,0.00052031,-0.071537,0.0047718,0.0048554,-0.15834,17
-0.0016946,0.00088168,-0.071537,0.00588,0.0073843,-0.15834,18
-0.0019017,0.00075576,-0.071537,0.0081978,0.0094259,-0.15834,19
-0.0048753,-0.0052246,-0.071537,0.007749,0.005613,-0.15834,20
-0.0003825,0.00015612,-0.071537,0.0016544,0.0027875,-0.15834,21
-0.00071307,0.00058599,-0.071537,0.0033607,0.0058488,-0.15834,22
-0.0011826,0.0011646,-0.071537,0.004928,0.0090589,-0.15834,23
-0.0018545,0.001421,-0.071537,0.006293,0.011947,-0.15834,24
-0.0028029,-0.0042088,-0.071537,0.0073814,0.0089482,-0.15834,25
-0.00083634,-0.00033492,-0.071537,0.00062913,0.0026526,-0.15834,26
-0.0014831,-0.000316,-0.071537,0.0014478,0.0056591,-0.15834,27
-0.0014954,0.00037852,-0.071537,0.002901,0.0093412,-0.15834,28
-0.0022561,0.00092101,-0.071537,0.0036058,0.012871,-0.15834,29
-0.00082,-0.0026271,-0.071537,0.0065073,0.012311,-0.15834,30
-0.001321,-0.00067249,-0.071537,-0.00048693,0.0025489,-0.15834,31
-0.0003129,-0.001492,-0.071537,0.0013553,0.0049508,-0.15834,32
-0.0013351,-0.00082244,-0.071537,0.0011672,0.0088418,-0.15834,33
